feature,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,MeanVoicedSegmentLengthSec,StddevUnvoicedSegmentLength,StddevVoicedSegmentLengthSec,VoicedSegmentsPerSec,alphaRatioUV_sma3nz_amean,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,equivalentSoundLevel_dBp,hammarbergIndexUV_sma3nz_amean,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,loudnessPeaksPerSec,loudness_sma3_amean,loudness_sma3_meanFallingSlope,loudness_sma3_meanRisingSlope,loudness_sma3_pctlrange0-2,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_stddevFallingSlope,loudness_sma3_stddevNorm,loudness_sma3_stddevRisingSlope,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxUV_sma3nz_amean,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm
F0semitoneFrom27.5Hz_sma3nz_amean,1.0,0.06951752092572284,-0.12179519341984024,0.06270274832823744,0.8793605066305904,0.9608666914794929,0.8865270804707768,0.0355584283608773,-0.3480757925679115,-0.11394088194504685,0.20084480482350997,-0.22133505255214359,-0.3435539138507102,0.5021486627264151,0.5635148186026956,-0.2380576923125234,0.4054240944802774,-0.4612039359596126,-0.043243569921218215,0.18681574124236766,0.456477576732224,-0.3365669153442524,0.4138320820979298,-0.4744985450165173,-0.1060706834997221,0.2812566233117386,0.255495397796949,-0.34343121883229255,0.5981821698231614,-0.24547894242747598,-0.23586029450022233,0.33228046397443034,-0.13960988473407715,0.39608401162672174,0.07756443116713599,0.3306054531328625,0.6521278202781043,-0.5857013169340659,0.2623338607897354,-0.28347060616179437,-0.5713034950929322,0.5752601207090644,-0.030981842523652395,-0.020892998879494147,-0.4184072999518446,0.2901545657843504,0.27098412113859277,-0.16088751541960894,0.21563247425995505,0.3777788147302299,0.45899651297962785,0.38078557410306163,0.45794504220607474,0.27023750533609153,0.3509204098121012,0.4088060746382335,0.4349966823073991,-0.041031919308989695,0.3240626334186346,-0.6116838295131112,0.6018543572581956,-0.45049122957239146,0.2403349258697079,-0.7188672493214192,-0.26681679231041067,-0.6705492555265019,-0.32774405745117347,-0.5579272940165874,0.01464922235253143,-0.48244115802575693,0.1799241933466796,-0.6450903610293859,0.12364581152913753,-0.5806516433775215,-0.06981266343460778,-0.13814260828625305,-0.05426085673939245,0.19906187992488994,0.01776856672694567,0.4122892133159917,0.09753746494183914,0.277283553671558,-0.28762219461852473,0.2156226916949788,0.30147106833786685,0.06593601249175812,0.2894093200738554,-0.02721527166714308
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.06951752092572284,1.0,0.6000243972555891,0.5665418725721845,-0.15713097572789436,0.12034856527657439,0.2934449764884701,0.8217641634522964,0.6113028035280647,0.4671239715306231,-0.43179100104226803,0.42815736366075274,-0.23400687023203298,0.2697520222214026,0.22415017968972112,-0.02567857447182983,-0.34766780878022147,0.30459751800764684,0.2428473810359005,-0.13699868931874262,0.10393909119916929,0.08782328837584238,-0.3446397476868125,0.29486197262027963,0.02882313157383533,0.010409217025724905,-0.006353477315121841,0.061893366708889536,-0.32484474688291265,0.538629067085671,0.2307803764610233,-0.44232637175576706,0.22779908460630308,-0.22413229262137951,-0.049306918840396896,-0.05413131372808214,0.2137314379895544,-0.24299256030289434,0.10628287936051,0.09348019654561633,-0.17176938435915298,0.21495625602969223,0.4019695208736085,0.22939913915572813,-0.3040202636995276,0.4242389626491451,-0.11859875414776665,0.28993439822181555,-0.18508770536536312,0.15555111112108086,0.004983383231796267,0.0866978197092526,0.09909476938208311,0.17240386581823383,0.1420235965861472,0.14069145712003325,0.11862011814254453,-0.07641716512257858,0.19655706071844484,-0.23934659991851556,0.24041763312141254,-0.16488361014448363,-0.011697713040357447,-0.11514757301819692,-0.09943998299062351,-0.09207321341340985,-0.06288752380835551,-0.16955770937310213,0.052893434705529416,-0.10388140507570556,0.0712304207577211,0.07163525325056587,-0.15475911354986271,0.11790824460831797,-0.1278576469304681,0.2644596162615526,-0.3404910894425754,-0.30807679392882886,-0.12572864195893685,-0.2979400640787265,0.165357200040414,0.19620339287794863,-0.17551551010660213,0.2733569300344796,0.12045899059572958,0.10224514224418811,0.1642612906076546,-0.030328087437271934
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,-0.12179519341984024,0.6000243972555891,1.0,0.4783556152996793,-0.2932778606706354,-0.046026114628515385,0.09740490584400342,0.38536207351103646,0.6444110244027685,0.8734454143209816,-0.4027088189174164,0.40953184962463873,-0.081104572815737,0.10569351012815059,0.08249445141964563,-0.03218146375477853,-0.3822747887199492,0.3679805910533272,0.2523221987688023,-0.16106672410030962,0.009184183796975704,0.08711073965739989,-0.383024278808078,0.36703229432720424,0.06124502714357311,-0.031251736407987694,-0.013157788590721437,0.09785828747089037,-0.3806000095070921,0.5257615057442855,0.2262494075280103,-0.4691603110606506,0.18698398625431611,-0.28912993636281914,-0.01290886080588005,-0.1603788340988724,0.01621552102841125,-0.10201755363587243,0.0209358785101769,0.17382211568995315,0.010197578039346773,0.07721188190766856,0.3192099847235384,0.2461980434192675,-0.17161299356808643,0.37769071062302717,-0.14997789504602896,0.32230462679254274,-0.23436912242967653,0.02276365897423405,-0.12608771666670504,-0.025069000215383563,-0.059812827022370875,0.06694711636027013,0.014560887921119238,-0.0012255869848637937,-0.007888637742558558,-0.03962329861785812,0.08819559067236246,-0.048512676284817785,0.0695625683911729,-0.024732826251739,-0.04299944305880994,0.09562430986334818,0.0018126077062802595,0.12257400550368067,0.07301787704793575,-0.03978913529778128,0.09273994935555774,0.008629331743938417,0.034787445933028925,0.20577967786689333,-0.19391324008786348,0.23912909576569055,-0.1111882507986428,0.2487800066760786,-0.3020401113773414,-0.344587740733324,-0.1347733054920599,-0.37355839436385885,0.20175707818640795,0.09103660914069824,-0.09527790752844909,0.1658789078888235,-0.010997165615566544,0.15804283450722917,0.045541369369844514,0.034944524734226705
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.06270274832823744,0.5665418725721845,0.4783556152996793,1.0,-0.33075105617753864,0.12795601177581178,0.4359082750429625,0.30925469663999233,0.761871032993631,0.34396109258330276,-0.35213612527526805,0.3490694210453564,-0.2839327839025178,0.30519138527140466,0.2749874961227121,-0.035590706797304666,-0.27473256657978823,0.2339766115545436,0.2592065266429437,-0.2209338481928152,0.12405831032925126,0.09950749298836782,-0.27485213840203,0.23133661054730298,0.04084593547227256,-0.07915105506605986,0.025583012960471,0.061500775816637945,-0.3838017978958146,0.6435611481579666,0.22471903351253641,-0.31691851104133206,0.23060092225722653,-0.09796487495903698,-0.07928777311474584,-0.07274160353490211,0.2205449668363503,-0.2576173449285841,0.1780943725392445,0.1143400404411654,-0.15903168737686776,0.20577863351115563,0.4699186534584088,0.1322683974701262,-0.32094453210994855,0.4407922774808973,-0.1361710048221843,0.27417870268146183,-0.19253519568429645,0.2055127062470233,0.031933973896027465,0.1315203377087125,0.1330243392704685,0.205399053787731,0.1920939768347387,0.18960802923388592,0.1524165514303282,-0.09195178484996624,0.25293611322369813,-0.27144810726883783,0.2725154941105863,-0.14087680755871906,-0.04192633497183419,-0.13398486423521008,-0.10357330609558807,-0.11862051495823778,-0.06951618387263585,-0.24850216659149132,0.04507544293083769,-0.16270977776991055,0.0566765951779258,0.1132050101456248,-0.20143124314465718,0.13243969452111218,-0.14690702711212872,0.24855630528221953,-0.35482032733833213,-0.3226811266515938,-0.15292636688387384,-0.30746217395094183,0.13978217177457553,0.21481956694783455,-0.1800895612039177,0.3288242886408452,0.17237526862362051,0.11959785907666032,0.22700926657678247,-0.028228336209371055
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.8793605066305904,-0.15713097572789436,-0.2932778606706354,-0.33075105617753864,1.0,0.7997771425798231,0.6135289369251378,-0.07674016564985761,-0.6284517624102739,-0.22424226598576408,0.3431891573092072,-0.3606905260395667,-0.1646871698276862,0.32243793317597025,0.38389422930126993,-0.17675365906974055,0.49736767520485226,-0.5311408486307388,-0.15514970062155897,0.280931220621418,0.3587009908492869,-0.3284268553156125,0.5047316861326235,-0.5424892958349016,-0.11086621500988943,0.2951079351772737,0.2337527098939981,-0.3261422748228737,0.7281646315712919,-0.49345820871257834,-0.32216299556049116,0.4425011809178541,-0.2182115830561986,0.4109323161730823,0.09806683020329948,0.3057986000129121,0.4825850132098909,-0.41071590422947934,0.15829739751413574,-0.27924898369677,-0.4343763125549036,0.4313740583011985,-0.2027377628728099,-0.033390837554201185,-0.2185876368920994,0.09094573632713403,0.3131278235700952,-0.2227887463838504,0.2755663939237543,0.24876450730597288,0.40854010052945555,0.28345981895249445,0.3666925314985227,0.14664292617042182,0.22876609226459474,0.2879309210211433,0.338659578649992,0.027694410823074986,0.18026386955430335,-0.41245883919376075,0.41945897012813393,-0.3192242863227188,0.2258603153630041,-0.6003845815326525,-0.19526394149144058,-0.5560725259548989,-0.26641537473853877,-0.40152553425347887,0.006686230963723233,-0.36950553425743565,0.15064461833312834,-0.653641782714652,0.1873720116995679,-0.5966789996145089,-0.021524850722217763,-0.2213531698538543,0.11679776087681486,0.3157145642016264,0.06810219435801287,0.5256394747871821,0.04975023191138229,0.13750892428753503,-0.1849881799018052,0.05029753023531253,0.20441949039654933,0.033413631753345996,0.16247615894668768,0.006814467531985967
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.9608666914794929,0.12034856527657439,-0.046026114628515385,0.12795601177581178,0.7997771425798231,1.0,0.8877523012498378,0.06036362391787341,-0.2568692486309106,-0.06124238414356305,0.1580723765474165,-0.17363938326292494,-0.32113851181074293,0.46832206922130987,0.5548937488487687,-0.26608165977724124,0.3621275180762999,-0.414445938212055,0.00575517696541346,0.154205822171695,0.4364932058415831,-0.3438091275437854,0.36961212938839105,-0.42608032567394644,-0.07713706047072769,0.2848069590101675,0.23546166578770591,-0.3371760748188691,0.5394763979080234,-0.1746089264957354,-0.22886964078318506,0.2611102924374332,-0.14625255185252276,0.33779179907299794,0.09684860996083092,0.25630020031927436,0.6312262227380893,-0.5571970662704867,0.28317601873773574,-0.21961734051887455,-0.5586163299243756,0.5529342114667269,-0.03316812130622671,0.00870598337313607,-0.43404486878980536,0.33247954389174716,0.267787863493604,-0.11835260798948032,0.20418737080126312,0.394632976935342,0.44040373144057776,0.37804613228716333,0.4353676842514036,0.30486711400046046,0.3701452912539111,0.4163791047230398,0.42141640355972404,-0.08670804314242404,0.3303052648590641,-0.6080390635242358,0.5664596882905112,-0.4248682637910993,0.184637217754998,-0.687041329484991,-0.2601019225064056,-0.623073043436618,-0.2944074210220354,-0.5447883196292983,0.015972582957220902,-0.45073255372721,0.1650276769445164,-0.6026939106899054,0.10814397537555262,-0.5278794204642033,-0.08167726313867063,-0.1417439555308194,-0.09194167081500708,0.10951307464869581,-0.041385949012152604,0.3116269975098779,0.12691446533529374,0.27692409294134523,-0.2661400537407892,0.25412943981038955,0.30921909617496174,0.05037193747430353,0.31260470168998994,-0.0644175602305824
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.8865270804707768,0.2934449764884701,0.09740490584400342,0.4359082750429625,0.6135289369251378,0.8877523012498378,1.0,0.13619351414797048,0.014881799790402245,0.03241243397731917,0.0027757771255501997,-0.020313255105814117,-0.41916003781809547,0.5512297757938653,0.6139815519237622,-0.2732301782040857,0.21301941254122062,-0.2754182681871372,0.10191481198238832,0.048823971312842954,0.4450145043022074,-0.2946738831128303,0.2201009706522075,-0.2868500387963103,-0.05729326106539029,0.21743064877862506,0.2197415031207225,-0.29652271555240733,0.3379310239241526,0.05708102191973977,-0.09813919602501782,0.12599107423882935,-0.03284570462071663,0.26061800092987936,0.060497428524958125,0.2373309158149914,0.6637552450379395,-0.6086689495161096,0.3221035505516522,-0.18680290473411254,-0.5712850355481888,0.5814968831639786,0.14448855413946665,-0.0008615145157385444,-0.5298302278481821,0.4430396562272303,0.16827687821532164,-0.04789740863601026,0.1256350195590482,0.43678935269501207,0.4047341150660404,0.40068024989028045,0.44352969663819286,0.3541628277791214,0.4089183426535017,0.4499731632164582,0.4290585232194808,-0.11980642536842649,0.40136396727849105,-0.6640159055694805,0.6259609565169119,-0.4600007125704298,0.16601862847127014,-0.6723839214131507,-0.2695091395610374,-0.6182633868153101,-0.30511596251616574,-0.587024658086408,0.022561284135946276,-0.4752717766006772,0.1583560335271435,-0.49993757432672015,0.03511148866929129,-0.43155138258030357,-0.10372448722360667,-0.030339533144428103,-0.21965743961030457,0.0014882592331856642,-0.07017418135539225,0.1853478914476647,0.12354325052630927,0.3386179573016913,-0.31337422455580827,0.3506309280442687,0.34657226398875507,0.07858759655834423,0.3697298833721562,-0.07456145755702973
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.0355584283608773,0.8217641634522964,0.38536207351103646,0.30925469663999233,-0.07674016564985761,0.06036362391787341,0.13619351414797048,1.0,0.3618996489987898,0.37560243535320204,-0.24477699113050916,0.2393597312253906,-0.10073939889530685,0.16564334369902003,0.08676293284079754,0.07311788583225196,-0.20369231772705257,0.17364904725948266,0.09881493945845214,0.019476867776744032,0.04207898498072346,0.12592162465060153,-0.20115837601792444,0.16356376386983734,-0.010487501519399443,0.04858664903854682,-0.011165741490519158,0.1254518264422806,-0.1196256529469183,0.28246556977197734,0.14071319985539862,-0.23259091416888492,0.19650066095479746,-0.07648074472003384,-0.17947799017138333,-0.013349557403289277,0.09196268834114064,-0.17379184464864914,-0.05336112337017182,0.04600606438533685,-0.0761155165285313,0.16767588902182312,0.2120771215470396,0.22627203655993794,-0.11079729114311232,0.23365461706146515,-0.047931783684460404,0.21483001756885256,-0.21352476619345842,-0.0208974935134156,-0.04258060018884402,-0.034493978858693854,0.00953653457893296,-0.009810059224942123,-0.03135993409890077,-0.020043458268671304,0.05269234084532574,0.08066289263477563,0.053680594559588825,-0.0658904434548327,0.1492492640947857,-0.05052407963168019,0.03028340988131986,-0.07698433563239784,-0.0973735912981368,-0.06407320176538216,-0.03833442934093687,-0.039987099916246674,0.10649195523945888,-0.02542873597255998,0.11402188184718086,-0.013179899039236184,-0.13729970794497318,0.02500185111564065,-0.11811974233259971,0.17251461038288898,-0.148282881850456,-0.11621362532901684,-0.0036139447246929315,-0.10366823738053099,0.16819978841223923,0.10441639099984866,-0.16265411519373676,0.04346210062945658,-0.02679138648790038,0.15248435250422185,-0.023639282728254614,0.10066185818954194
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,-0.3480757925679115,0.6113028035280647,0.6444110244027685,0.761871032993631,-0.6284517624102739,-0.2568692486309106,0.014881799790402245,0.3618996489987898,1.0,0.4904079227501257,-0.5267491846881083,0.5352962098133973,-0.1183982082330146,0.11282376699775952,0.07157991230283284,0.02181398146929628,-0.5296373889777916,0.5105587509007876,0.3577270689105449,-0.297138644437999,-0.03125718324632483,0.20038721512538243,-0.5320956819577078,0.5115569220295605,0.12565886057919448,-0.16825345712226009,-0.06301922861911954,0.183484787371911,-0.6433863034627338,0.7830451890126912,0.38968534756173584,-0.5151506211795203,0.3524966867999287,-0.3001314877942484,-0.1326766452074068,-0.2571019891312537,-0.06980047420758928,-0.038060426472339114,0.04820379735393474,0.27347134818739904,0.09422977908031378,-0.002939252358658432,0.4268730896128211,0.17240855573532854,-0.1681493848026587,0.401059804898061,-0.22508768133891222,0.39608596099973925,-0.353220849027242,0.01970807942588883,-0.2084936321285419,-0.05396264926387024,-0.09893495729069979,0.07707759218070794,0.01498098939409861,-0.012951930968461348,-0.053114928542241854,-0.058680737514244186,0.11782233203652336,-0.028466996382013148,0.04694148749709995,0.01937972727207825,-0.11555488866828602,0.19530263990575172,0.019204561911695745,0.2053129973977059,0.08452076838946643,0.026050157809999443,0.024378922111657885,0.08765201437304938,-0.015599782391999027,0.3941307888642243,-0.2239711110671192,0.41118396800240137,-0.1279697286088388,0.2934883546166962,-0.3561195828720579,-0.4892980149940502,-0.16093183723893223,-0.5562737965721274,0.15797746849876868,0.13058590687959912,-0.08874231155399033,0.2392689625575096,0.01541514179500656,0.13173155518837928,0.0844594712230012,0.007695479313490787
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,-0.11394088194504685,0.4671239715306231,0.8734454143209816,0.34396109258330276,-0.22424226598576408,-0.06124238414356305,0.03241243397731917,0.37560243535320204,0.4904079227501257,1.0,-0.24593149187783825,0.24919511054683682,-0.0724961328372281,0.1020723739224838,0.019859129634696403,0.06312090873876433,-0.23931122297311863,0.22832194306342068,0.10624253978761393,-0.03516934266453232,-0.007610025985303751,0.1486016954115876,-0.23879999404638252,0.22383706088525154,0.0053789346177422,0.0031859987530579747,-0.009052439235028555,0.15516167300662265,-0.23505286838825332,0.35077992350222365,0.1338271078943592,-0.30186870587168063,0.13919387027526003,-0.16193435339516757,-0.05878211904498355,-0.08982485791215437,-0.01688698492413872,-0.10894573425339743,-0.039526944431788696,0.10051921681343477,0.028815749707755235,0.11052603108537468,0.1943332664011187,0.209015430638216,-0.08900760276731794,0.29761271214630736,-0.10197637216059048,0.2590246126525811,-0.20449967463653795,-0.05464009887747079,-0.09039727833862012,-0.050659045338728954,-0.05629386286768714,-0.03623723036927759,-0.06266208462518295,-0.060756660540714054,0.010150544691542267,0.062363467018990607,0.03710975539739146,0.02287144451258296,0.07925059553486653,0.008122842114727304,0.04666455336969244,0.0776273952256855,-0.012135439630375729,0.09807877057824546,0.0533789435539613,0.02637298775872262,0.13744677357073612,0.0452499438861138,0.07288640547978088,0.12934746691048224,-0.20116781371683723,0.15492161908687802,-0.1247809740192441,0.1685131040250631,-0.1409565524321344,-0.21989647014146063,-0.044056769431709025,-0.239815824485306,0.22005433817583353,0.04054400116620386,-0.12422502626820031,0.03447215105074024,-0.04965962883593224,0.1765472095216012,-0.040533854406707696,0.10346315988876957
