video_id,reason
HkKf2IY8KDw,no definitive is_short verdict (cannot place in a format stratum)
aPeRJXXb9r8,no definitive is_short verdict (cannot place in a format stratum)
qRs6m8NZkbc,no definitive is_short verdict (cannot place in a format stratum)
